AppID,Total_Reviews,Error_Keyword_Reviews,Error_Keyword_Percentage
10,100,5,5.0
20,27,2,7.4074074074074066
30,14,0,0.0
50,100,9,9.0
60,35,0,0.0
70,100,9,9.0
80,62,2,3.225806451612903
130,98,7,7.142857142857142
220,100,7,7.000000000000001
240,100,4,4.0
280,36,4,11.11111111111111
300,36,1,2.7777777777777777
320,26,0,0.0
340,6,0,0.0
360,17,3,17.647058823529413
380,15,1,6.666666666666667
400,100,2,2.0
420,16,1,6.25
440,100,3,3.0
500,100,2,2.0
550,99,7,7.07070707070707
570,5,0,0.0
620,100,7,7.000000000000001
630,100,7,7.000000000000001
730,100,20,20.0
1250,59,4,6.779661016949152
1840,100,7,7.000000000000001
2100,46,8,17.391304347826086
2280,100,9,9.0
2630,27,3,11.11111111111111
3590,100,3,3.0
3830,37,2,5.405405405405405
3910,32,2,6.25
4000,100,5,5.0
4500,91,10,10.989010989010989
4560,7,0,0.0
4570,43,1,2.3255813953488373
4580,31,1,3.225806451612903
4700,95,5,5.263157894736842
4760,25,0,0.0
4920,5,1,20.0
6000,39,4,10.256410256410255
6020,21,0,0.0
6060,63,2,3.1746031746031744
7670,47,6,12.76595744680851
7760,13,0,0.0
7940,63,2,3.1746031746031744
8230,1,0,0.0
8500,20,2,10.0
8930,100,8,8.0
9010,22,1,4.545454545454546
9340,1,0,0.0
9450,64,1,1.5625
9480,35,6,17.142857142857142
9900,1,1,100.0
10180,96,2,2.083333333333333
10500,66,4,6.0606060606060606
10680,57,4,7.017543859649122
11020,50,2,4.0
12200,100,29,28.999999999999996
12210,100,29,28.999999999999996
13520,58,8,13.793103448275861
15100,100,40,40.0
15620,43,3,6.976744186046512
15700,7,0,0.0
17080,37,1,2.7027027027027026
17300,13,0,0.0
17330,8,0,0.0
17390,100,14,14.000000000000002
17410,100,12,12.0
17460,14,3,21.428571428571427
17470,42,5,11.904761904761903
17480,58,2,3.4482758620689653
19900,100,25,25.0
20510,43,2,4.651162790697675
20570,4,0,0.0
22320,100,10,10.0
22330,100,15,15.0
22350,3,0,0.0
22370,100,20,20.0
24010,37,3,8.108108108108109
24200,100,11,11.0
24740,9,1,11.11111111111111
24780,39,2,5.128205128205128
24960,18,0,0.0
24980,5,0,0.0
26800,7,0,0.0
32370,68,5,7.352941176470589
32430,22,3,13.636363636363635
32470,100,3,3.0
33230,100,13,13.0
33900,1,0,0.0
33930,7,0,0.0
34030,81,4,4.938271604938271
35140,100,11,11.0
35450,14,0,0.0
35700,20,1,5.0
39120,3,0,0.0
39500,9,4,44.44444444444444
40100,22,0,0.0
40800,49,3,6.122448979591836
40970,73,1,1.36986301369863
40990,9,1,11.11111111111111
41000,14,1,7.142857142857142
41500,9,0,0.0
41700,41,2,4.878048780487805
42910,26,11,42.30769230769231
47780,89,5,5.617977528089887
47810,100,47,47.0
47870,7,0,0.0
47890,99,7,7.07070707070707
48000,100,3,3.0
48700,100,2,2.0
50620,3,0,0.0
55100,16,4,25.0
55150,100,8,8.0
57690,19,0,0.0
63380,10,0,0.0
65800,47,1,2.127659574468085
65980,25,5,20.0
70000,6,0,0.0
96000,4,3,75.0
99900,100,9,9.0
104900,3,0,0.0
105450,16,0,0.0
105600,100,4,4.0
107100,23,2,8.695652173913043
107410,100,13,13.0
108600,100,11,11.0
108710,86,4,4.651162790697675
108800,4,0,0.0
109600,100,11,11.0
113020,3,0,0.0
113200,64,4,6.25
113420,25,2,8.0
200210,100,6,6.0
200260,100,4,4.0
200710,36,1,2.7777777777777777
201270,100,3,3.0
201790,14,1,7.142857142857142
202750,26,3,11.538461538461538
203290,76,5,6.578947368421052
203770,18,2,11.11111111111111
204100,100,19,19.0
204300,7,0,0.0
204340,30,3,10.0
204360,100,7,7.000000000000001
204450,55,3,5.454545454545454
204880,10,0,0.0
205100,100,4,4.0
206210,2,0,0.0
206440,83,6,7.228915662650602
206480,59,10,16.94915254237288
206500,1,0,0.0
207140,27,0,0.0
207230,21,1,4.761904761904762
208580,75,5,6.666666666666667
209080,3,0,0.0
209670,1,0,0.0
209870,92,13,14.130434782608695
210770,12,0,0.0
211420,20,2,10.0
211500,1,0,0.0
211820,100,6,6.0
212070,84,7,8.333333333333332
212500,98,8,8.16326530612245
212680,100,4,4.0
213670,100,7,7.000000000000001
214420,2,0,0.0
214950,100,3,3.0
215080,1,0,0.0
218230,100,17,17.0
218680,30,2,6.666666666666667
219640,7,0,0.0
219740,100,4,4.0
219990,100,4,4.0
220200,100,6,6.0
220240,99,24,24.242424242424242
221380,78,2,2.564102564102564
221910,54,2,3.7037037037037033
222880,19,1,5.263157894736842
223470,99,4,4.040404040404041
223710,100,8,8.0
223750,4,0,0.0
223850,67,2,2.9850746268656714
224260,100,18,18.0
224540,2,0,0.0
224760,31,0,0.0
225080,15,1,6.666666666666667
225260,40,3,7.5
225840,100,2,2.0
226840,9,1,11.11111111111111
227300,100,10,10.0
227940,100,30,30.0
228200,48,1,2.083333333333333
228280,48,6,12.5
228380,100,10,10.0
230230,2,0,0.0
230290,100,4,4.0
231060,8,1,12.5
232050,5,3,60.0
232770,7,0,0.0
232890,33,2,6.0606060606060606
233720,16,0,0.0
233860,99,11,11.11111111111111
234630,1,0,0.0
234650,10,1,10.0
235600,58,16,27.586206896551722
236110,2,0,0.0
