AppID,Game Name,Game Tags,Release Date,Developer,Publisher,Recent Reviews,All Reviews,Price
578080,PUBG: BATTLEGROUNDS,"Survival												
												Shooter												
												Battle Royale												
												Multiplayer												
												FPS												
												PvP												
												Third-Person Shooter												
												Action												
												Online Co-Op												
												Tactical												
												Co-op												
												First-Person												
												Strategy												
												Early Access												
												Competitive												
												Third Person												
												Team-Based												
												Difficult												
												Simulation												
												Stealth												+","21 Dec, 2017",PUBG Corporation,"KRAFTON, Inc.",,,Free To Play
1623730,Palworld,"Open World												
												Survival												
												Creature Collector												
												Multiplayer												
												Open World Survival Craft												
												Crafting												
												Co-op												
												Adventure												
												Sandbox												
												Third-Person Shooter												
												Automation												
												Action												
												RPG												
												Early Access												
												Anime												
												3D												
												PvE												
												Indie												
												Looter Shooter												
												Hack and Slash												+","18 Jan, 2024",Pocketpair,Pocketpair,,,"₹ 2,160"
1172470,Apex Legends™,"Free to Play												
												Battle Royale												
												Multiplayer												
												FPS												
												Shooter												
												First-Person												
												PvP												
												Action												
												Hero Shooter												
												Team-Based												
												Tactical												
												Sci-fi												
												Loot												
												Survival												
												Co-op												
												Character Customization												
												Funny												
												Lore-Rich												
												Cyberpunk												
												Cinematic												+","4 Nov, 2020",Respawn,Electronic Arts,,,Free To Play
1063730,New World: Aeternum,"Open World												
												Massively Multiplayer												
												MMORPG												
												RPG												
												Adventure												
												Action												
												PvP												
												PvE												
												Multiplayer												
												Fantasy												
												Character Customization												
												Walking Simulator												
												Crafting												
												Third Person												
												Co-op												
												Open World Survival Craft												
												Sandbox												
												Violent												
												Sexual Content												
												Singleplayer												+","28 Sep, 2021",Amazon Games,Amazon Games,,,"₹ 6,676"
2358720,,,,,,,,Free to Play
1938090,,,,,,,,Free to Play
271590,,,,,,,,Free to Play
550,Left 4 Dead 2,"Zombies												
												Co-op												
												FPS												
												Multiplayer												
												Shooter												
												Online Co-Op												
												Action												
												Survival												
												Horror												
												First-Person												
												Gore												
												Team-Based												
												Moddable												
												Survival Horror												
												Post-apocalyptic												
												Singleplayer												
												Adventure												
												Local Co-Op												
												Replay Value												
												Tactical												+","16 Nov, 2009",Valve,Valve,,,₹ 720
553850,,,,,,,,Free to Play
1599340,,,,,,,,Free to Play
304930,Unturned,"Free to Play												
												Survival												
												Zombies												
												Multiplayer												
												Open World												
												Co-op												
												Sandbox												
												Crafting												
												Shooter												
												Adventure												
												Post-apocalyptic												
												First-Person												
												Singleplayer												
												Looter Shooter												
												FPS												
												Action												
												Massively Multiplayer												
												Indie												
												Atmospheric												
												Casual												+","7 Jul, 2017",Smartly Dressed Games,Smartly Dressed Games,,,Free To Play
526870,Satisfactory,"Base Building												
												Automation												
												Open World												
												Multiplayer												
												Crafting												
												Co-op												
												Resource Management												
												Building												
												Sandbox												
												Exploration												
												Adventure												
												Open World Survival Craft												
												Survival												
												Simulation												
												First-Person												
												Strategy												
												Sci-fi												
												Singleplayer												
												Early Access												
												Indie												+","10 Sep, 2024",Coffee Stain Studios,Coffee Stain Publishing,,,"₹ 2,545"
1238810,Battlefield™ V,"FPS												
												Multiplayer												
												Singleplayer												
												World War II												
												Shooter												
												War												
												Military												
												First-Person												
												Massively Multiplayer												
												PvP												
												Combat												
												Open World												
												Action												
												Historical												
												Destruction												
												Battle Royale												
												Atmospheric												
												Violent												
												Sexual Content												
												Female Protagonist												+","9 Nov, 2018",DICE,Electronic Arts,,,"₹ 2,599"
60,Ricochet,"Action												
												FPS												
												Multiplayer												
												Classic												
												First-Person												
												Sci-fi												
												Shooter												
												Space												
												Cyberpunk												
												Psychological Horror												
												3D												
												Retro												
												Platformer												
												Memes												
												Old School												
												Conspiracy												
												Cult Classic												
												Competitive												
												Sports												
												Great Soundtrack												+","1 Nov, 2000",Valve,Valve,,,₹ 659
221100,,,,,,,,Free to Play
1089350,NBA 2K20,"Basketball												
												Sports												
												Simulation												
												Multiplayer												
												Singleplayer												
												Capitalism												
												Loot												
												Casual												
												Local Multiplayer												
												Controller												
												Character Customization												
												Massively Multiplayer												
												Realistic												+","6 Sep, 2019",Visual Concepts,2K,,,Free to Play
204360,Castle Crashers®,"2D												
												Online Co-Op												
												Co-op												
												Beat 'em up												
												Hack and Slash												
												Funny												
												Adventure												
												4 Player Local												
												Local Co-Op												
												Multiplayer												
												Local Multiplayer												
												Action												
												Singleplayer												
												Medieval												
												Cartoony												
												Cute												
												Comedy												
												RPG												
												Arcade												
												Casual												+","26 Sep, 2012",The Behemoth,The Behemoth,,,"₹ 1,002"
632360,Risk of Rain 2,"Third-Person Shooter												
												Action Roguelike												
												Multiplayer												
												Co-op												
												Action												
												Roguelite												
												Roguelike												
												Looter Shooter												
												Loot												
												Online Co-Op												
												Shooter												
												Difficult												
												Great Soundtrack												
												Third Person												
												Indie												
												Survival												
												Singleplayer												
												Soundtrack												
												Early Access												
												Bullet Hell												+","11 Aug, 2020",Hopoo Games,Gearbox Publishing,,,₹ 930
96000,The Tiny Bang Story,"Point & Click												
												Puzzle												
												Hand-drawn												
												Steampunk												
												Retro												
												Atmospheric												
												2D												
												Story Rich												
												Casual												
												Family Friendly												
												Cute												
												Stylized												
												Surreal												
												Adventure												
												Hidden Object												
												Singleplayer												
												Indie												
												Minigames												
												Logic												
												Relaxing												+","22 Apr, 2011",Colibri Games,Colibri Games,,,₹ 854
